;Unnamed: 0;Unnamed: 0.1;user_id;user;text;text_sanitized;followers_count;verified;created_at;coordinates;location;place;source;lat;lng;score;sentiment;keywords
0;0;0.0;102801450.0;leonmariel;RT @lpbragancabr: Perdi a conta mas se não me engano essa é a sexta vez que o STF avalia a prisão em segunda instância.  Com esse STF todo…;Perdi a conta mas se nao me engano essa e a sexta vez que o STF avalia a prisao em segunda instancia Com esse STF todo;43.0;0.0;2019-10-16 01:59:26;;Sao Paulo - Brasil;;Twitter for Android;-23.5505199;-46.63330939999999;-0.9187129999999999;negative;sexta vez
1;1;1.0;1.0565620763265228e+18;matos_trajano;RT @AllanFrutuozo: O STF encontrará resistência. Os ministros calcularam muito mal. Se avançarem com a revogação da prisão em segunda instâ…;O STF encontrara resistencia Os ministros calcularam muito mal Se avancarem com a revogacao da prisao em segunda insta;12.0;0.0;2019-10-16 01:59:25;;;;Twitter Web App;37.2256055;-95.7162018;-0.8395530000000001;negative;revogacao da prisao
2;2;2.0;4627861527.0;RobertoMarcosU2;"RT @RHPozzobon: ⚠️CURIOSIDADE⚠️

A decisão é do #STF e vinculará a aplicação do direito em todo o Brasil, mas se fosse SUA, seria #PrisaoEm…";CURIOSIDADE A decisao e do #STF e vinculara a aplicacao do direito em todo o Brasil mas se fosse SUA seria #PrisaoEm;84.0;0.0;2019-10-16 01:59:21;;;;Twitter Web App;37.2256055;-95.7162018;0.0;neutral;aplicacao do direito
3;3;3.0;2349814241.0;ornellaserica;RT @jrguzzofatos: O STF está violando a Constituição de maneira aberta, repetida e perigosa. Deixou de definir o significado das leis e pas…;O STF esta violando a Constituicao de maneira aberta repetida e perigosa Deixou de definir o significado das leis e pas;1022.0;0.0;2019-10-16 01:59:21;;Sao Paulo, Brasil;;Twitter for Android;-23.5505199;-46.63330939999999;0.0;neutral;constituicao de maneira aberta
4;4;4.0;1.0445829673501614e+18;higiane;RT @allantercalivre: Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado, com medo, passivo. Engana-se complet…;Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado com medo passivo Enganase complet;50.0;0.0;2019-10-16 01:59:21;;;;Twitter for Android;37.2256055;-95.7162018;-0.839111;negative;fogo no
5;5;5.0;1.146889353731498e+18;emersondireita;"RT @AneMeneghine: 🚨 URGENTE 🚨 
 🚨 TWITTAÇO 🚨
PESSOAL O STF É CÚMPLICE DO PT!
POR ISSO O STF SAI E FICA A LAVA-JATO!
TODOS JUNTOS DESCE O DE…";URGENTE   TWITTACO  PESSOAL O STF E CUMPLICE DO PT! POR ISSO O STF SAI E FICA A LAVAJATO! TODOS JUNTOS DESCE O DE;396.0;0.0;2019-10-16 01:59:21;;;;Twitter for Android;37.2256055;-95.7162018;-0.6530189999999999;negative;stf sai
6;6;6.0;1.0839381243282556e+18;CaladoDeise;RT @AdriAlcantara17: Já basta ter um STF acovardado e controlado pela bandidagem, agora, nós iremos nos acovardar também e aceitar isso sem…;Ja basta ter um STF acovardado e controlado pela bandidagem agora nos iremos nos acovardar tambem e aceitar isso sem;2410.0;0.0;2019-10-16 01:59:20;;Barra da Tijuca;;Twitter for iPad;-23.0003709;-43.36589499999999;-0.5977899999999999;negative;ja
7;7;7.0;636605267.0;MagnoMarcoski;RT @allantercalivre: Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado, com medo, passivo. Engana-se complet…;Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado com medo passivo Enganase complet;455.0;0.0;2019-10-16 01:59:20;;Brasil;;Twitter for Android;-14.235004;-51.92528;-0.839111;negative;fogo no
8;8;8.0;1.1167554487729316e+18;gmoreschi82;RT @allantercalivre: Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado, com medo, passivo. Engana-se complet…;Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado com medo passivo Enganase complet;1274.0;0.0;2019-10-16 01:59:19;;Sao Jose dos Campos, Brasil;;Twitter for iPhone;-23.223701;-45.9009074;-0.839111;negative;fogo no
9;9;9.0;81769079.0;bacanieski;@gilmarmendes e @STF_oficial UMA SUPREMA CORTE TOTALMENTE ACOVARDADA https://t.co/4BnF2kAKLO;e UMA SUPREMA COE TOTALMENTE ACOVARDADA;1394.0;0.0;2019-10-16 01:59:19;;Sao Paulo, Brasil;;Twitter for Android;-23.5505199;-46.63330939999999;0.0;neutral;suprema
10;10;10.0;261340015.0;sfvanderley;Távola Quadrada: STF disseca Moro https://t.co/4EFuharyG7 via @YouTube;Tavola Quadrada: STF disseca Moro via;618.0;0.0;2019-10-16 01:59:19;;Piracicaba, Brasil;;Twitter Web Client;-22.7355889;-47.6478542;0.0;neutral;tavola quadrada
11;11;11.0;367335358.0;ArmandoRep;"RT @Chefcarolinavi1: Milicianos, peguem seus crachás!
Hoje vamos fazer serão!
O sapo vergonha do STF não quer pressão popular!
Então simbor…";Milicianos peguem seus crachas! Hoje vamos fazer serao! O sapo vergonha do STF nao quer pressao popular! Entao simbor;321.0;0.0;2019-10-16 01:59:18;;;;Twitter for Android;37.2256055;-95.7162018;-0.888619;negative;entao simbor
12;12;12.0;463109283.0;fafapadua;@PatriaAmada_Br @FATIMAGOUVEIA17 Na minha humilde opinião, há outras prioridades, a primeira é a reforma da previdência.. além disso, o clima está só piorando (STF, Congresso etc...);Na minha humilde opiniao ha outras prioridades a primeira e a reforma da previdencia alem disso o clima esta so piorando (STF Congresso etc);439.0;0.0;2019-10-16 01:59:18;;Brasilia;;Twitter for Android;-15.826691;-47.92182039999999;-0.9311659999999999;negative;humilde opiniao
13;13;13.0;1.0565620763265228e+18;matos_trajano;RT @allantercalivre: Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado, com medo, passivo. Engana-se complet…;Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado com medo passivo Enganase complet;12.0;0.0;2019-10-16 01:59:18;;;;Twitter Web App;37.2256055;-95.7162018;-0.839111;negative;fogo no
14;14;14.0;124523498.0;naequeiroz;"RT @educardinal: Pois é.
O STF tá pra soltar o Nove Dedos e outros bandidos de igual periculosidade como homicidas, latrocidas e estuprador…";Pois e O STF ta pra soltar o Nove Dedos e outros bandidos de igual periculosidade como homicidas latrocidas e estuprador;203.0;0.0;2019-10-16 01:59:17;;;;Twitter Web App;37.2256055;-95.7162018;-0.752103;negative;bandidos de igual periculosidade
15;15;15.0;1.1701388988923167e+18;Naruto37683990;Não podemos aceitar o STF derrubar a prisão em segunda instância! #Prisaoem2ªInstanciaSim https://t.co/I2PTCoDTgH;Nao podemos aceitar o STF derrubar a prisao em segunda instancia! #Prisaoem2aInstanciaSim;30.0;0.0;2019-10-16 01:59:16;;;;Twitter for Android;37.2256055;-95.7162018;0.0;neutral;prisaoem2ainstanciasim
16;16;16.0;1.0407443946080584e+18;Brazil89636935;"RT @BrasilMito17: O ministro Gilmar Mendes falou sobre as manifestações de oficiais das Forças Armadas contra as decisões do STF.
Calma min…";O ministro Gilmar Mendes falou sobre as manifestacoes de oficiais das Forcas Armadas contra as decisoes do STF Calma min;1300.0;0.0;2019-10-16 01:59:16;;Florianopolis, Brasil;;Twitter for Android;-27.5948698;-48.54821949999999;0.0;neutral;ministro gilmar mendes
17;17;17.0;1.1817104871358833e+18;pachecopa1;"RT @CarlaZambelli17: Nota do Fonajuc:

“Caso esta decisão do plenário do STF seja revertida, o Brasil será o único país de todos os Estados…";Nota do Fonajuc: Caso esta decisao do plenario do STF seja revertida o Brasil sera o unico pais de todos os Estados;21.0;0.0;2019-10-16 01:59:16;;Rio de Janeiro, Brasil;;Twitter for Android;-22.9068467;-43.1728965;0.0;neutral;nota do fonajuc
18;18;18.0;1.1299437914383688e+18;CesarAraki;"RT @educardinal: Pois é.
O STF tá pra soltar o Nove Dedos e outros bandidos de igual periculosidade como homicidas, latrocidas e estuprador…";Pois e O STF ta pra soltar o Nove Dedos e outros bandidos de igual periculosidade como homicidas latrocidas e estuprador;712.0;0.0;2019-10-16 01:59:15;;Presidente Prudente, Brasil;;Twitter Web App;-22.1373112;-51.3889736;-0.752103;negative;bandidos de igual periculosidade
19;19;19.0;1.0569502594427044e+18;OpnewsTV;@PanichiRaphael Calcemos nossos tênis All Star para dar um pé na bunda do STF https://t.co/NKZOkdwB82;Calcemos nossos tenis All Star para dar um pe na bunda do STF;205.0;0.0;2019-10-16 01:59:15;;;;Twitter Web App;37.2256055;-95.7162018;0.0;neutral;all star
20;20;20.0;1.000802937063596e+18;elton196312;RT @AnaBiapax: Daí o Moro baixa a criminalidade em 20% é o que faz o STF? Trabalha para soltar 169 mil condenados em 2°Instância🤮😱 https://…;Dai o Moro baixa a criminalidade em 20% e o que faz o STF? Trabalha para soltar 169 mil condenados em 2Instancia;757.0;0.0;2019-10-16 01:59:15;;Cusco, Peru;;Twitter for iPhone;-13.53195;-71.96746259999999;0.0;neutral;2instancia
21;21;21.0;1.055030618474668e+18;SudreViviane;"RT @rigoni_felipe: Anunciei hoje, ao lado de outros seis parlamentares, uma ação no Tribunal Superior Eleitoral para deixar o PSB.

Fui sus…";Anunciei hoje ao lado de outros seis parlamentares uma acao no Tribunal Superior Eleitoral para deixar o PSB Fui sus;4026.0;0.0;2019-10-16 01:59:15;;Minas Gerais, Brasil;;Twitter for Android;-18.512178;-44.5550308;0.0;neutral;acao no
22;22;22.0;162740168.0;maxwel_machado;RT @lasiermartins: O senador Lasier fez há pouco na tribuna um alerta sobre   julgamento no STF que poderá rever o entendimento da prisão a…;O senador Lasier fez ha pouco na tribuna um alerta sobre  julgamento no STF que podera rever o entendimento da prisao a;93.0;0.0;2019-10-16 01:59:14;;Vila Velha - ES;;Twitter for Android;-20.3477821;-40.2949528;0.0;neutral;senador lasier
23;23;23.0;7.601561599448187e+17;elizangelagtei1;RT @allantercalivre: Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado, com medo, passivo. Engana-se complet…;Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado com medo passivo Enganase complet;379.0;0.0;2019-10-16 01:59:14;;;;Twitter for Android;37.2256055;-95.7162018;-0.839111;negative;fogo no
24;24;24.0;1.119598143836971e+18;SOLANGE47625458;"RT @AleGZahra17: Direita, que toda nossa Indignação se transforme em União contra o STF !

Prisão em Segunda Instância Sim !
Dia 17 em Bras…";Direita que toda nossa Indignacao se transforme em Uniao contra o STF ! Prisao em Segunda Instancia Sim ! Dia 17 em Bras;80.0;0.0;2019-10-16 01:59:13;;;;Twitter Web App;37.2256055;-95.7162018;0.0;neutral;segunda instancia sim
25;25;25.0;3587564951.0;silmagyar;RT @FFrancischini_: URGENTE: Diante da pauta de julgamento do STF para esta próxima quinta DECIDI chamar uma reunião extraordinária da CCJ…;URGENTE: Diante da pauta de julgamento do STF para esta proxima quinta DECIDI chamar uma reuniao extraordinaria da CCJ;176.0;0.0;2019-10-16 01:59:13;;Brasil;;Twitter for iPhone;-14.235004;-51.92528;0.0;neutral;pauta de julgamento do stf
26;26;26.0;1.0512903114634528e+18;pessoa_lidice;"@lasiermartins Até quando o congresso permitirá o STF legislar?
#SomosTodosFilipeMartins";Ate quando o congresso permitira o STF legislar? #SomosTodosFilipeMartins;841.0;0.0;2019-10-16 01:59:11;;;;Twitter for Android;37.2256055;-95.7162018;0.0;neutral;congresso
27;27;27.0;1.178002588391936e+18;AnaMaria_bf;"RT @henriolliveira: - O que o STF deveria fazer? 

*Defender a Constituição.

- O que o STF faz?

*Legisla
*Cria inquérito sigiloso para in…";O que o STF deveria fazer?  *Defender a Constituicao  O que o STF faz? *Legisla *Cria inquerito sigiloso para in;1117.0;0.0;2019-10-16 01:59:11;;;;Twitter for Android;37.2256055;-95.7162018;0.0;neutral;inquerito sigiloso
28;28;28.0;1.073637274699604e+18;AndanteNuvem;RT @PauloMartins10: Suas duvidas acabaram. Gleisi esclarece que se o STF rever a prisão após condenação em instância, Lula e mais de 140 mi…;Suas duvidas acabaram Gleisi esclarece que se o STF rever a prisao apos condenacao em instancia Lula e mais de 140 mi;299.0;0.0;2019-10-16 01:59:11;;;;Twitter Web App;37.2256055;-95.7162018;0.0;neutral;prisao apos
29;29;29.0;8.464778650131702e+17;navarro_catia;"RT @sensoinc: Como todos sabem, criar um pacote anti-crime ofende o Congresso - por @Oliver_talk 

https://t.co/bnWSlU5agh";Como todos sabem criar um pacote anticrime ofende o Congresso por;1161.0;0.0;2019-10-16 01:59:11;;Brasil;;Twitter for iPhone;-14.235004;-51.92528;-0.89895;negative;pacote
30;30;30.0;280515233.0;jssmetal;RT @lpbragancabr: Perdi a conta mas se não me engano essa é a sexta vez que o STF avalia a prisão em segunda instância.  Com esse STF todo…;Perdi a conta mas se nao me engano essa e a sexta vez que o STF avalia a prisao em segunda instancia Com esse STF todo;465.0;0.0;2019-10-16 01:59:09;;;;Twitter for Android;37.2256055;-95.7162018;-0.9187129999999999;negative;sexta vez
31;31;31.0;15967354.0;johndiegon;RT @AdriAlcantara17: “É porque eles não são juízes coisa nenhuma, são advogados de defesa de bandidos, lá no Supremo”, @augustosnunes se re…;E porque eles nao sao juizes coisa nenhuma sao advogados de defesa de bandidos la no Supremo se re;151.0;0.0;2019-10-16 01:59:09;;;;Twitter for Android;37.2256055;-95.7162018;-0.902122;negative;sao juizes
32;32;32.0;18290627.0;__Fernanda__;RT @jrguzzofatos: Dentro de 72 horas, ou algo assim, o Brasil estará vivendo dentro da nova realidade a ser definida pelo STF com sua decis…;Dentro de 72 horas ou algo assim o Brasil estara vivendo dentro da nova realidade a ser definida pelo STF com sua decis;92.0;0.0;2019-10-16 01:59:09;;Campinas - SP - Brasil;;Twitter for iPhone;-22.9329252;-47.073845;-0.607136;negative;nova realidade
33;33;33.0;9.986808368484762e+17;EISENHOWER27;RT @AdriAlcantara17: “É porque eles não são juízes coisa nenhuma, são advogados de defesa de bandidos, lá no Supremo”, @augustosnunes se re…;E porque eles nao sao juizes coisa nenhuma sao advogados de defesa de bandidos la no Supremo se re;30299.0;0.0;2019-10-16 01:59:09;;34 PRESIDENTE DOS EUA;;Twitter Web App;;;-0.902122;negative;sao juizes
34;34;34.0;1.1063332349112156e+18;Alexand86011595;"RT @Walterthej1: Pedido de impeachment dos 11 ministros do STF. Apresentado no Senado Federal em 01/10/2019!
VOCÊ SABIA DISSO????
🤔🤔🤔🤔🤔🤔
👏🏼…";Pedido de impeachment dos 11 ministros do STF Apresentado no Senado Federal em 01/10/2019! VOCE SABIA DISSO????;1312.0;0.0;2019-10-16 01:59:08;;;;Twitter for iPhone;37.2256055;-95.7162018;0.0;neutral;pedido de impeachment
35;35;35.0;9.36227513486934e+17;hebe_lima;"Assista a ""GILMAR MENDES ATERRORIZADO COM A NOMEAÇÃO DE DELTAN DALLAGNOL PARA PGR | STF EXTREMECIDO"" no YouTube https://t.co/LBdCNSOrsB";"Assista a ""GILMAR MENDES ATERRORIZADO COM A NOMEACAO DE DELTAN DALLAGNOL PARA PGR | STF EXTREMECIDO"" no YouTube";0.0;0.0;2019-10-16 01:59:08;;;;Twitter Web App;37.2256055;-95.7162018;0.0;neutral;gilmar mendes
36;36;36.0;94779181.0;thiagonvianaa;RT @allantercalivre: Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado, com medo, passivo. Engana-se complet…;Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado com medo passivo Enganase complet;4786.0;0.0;2019-10-16 01:59:08;;Brasil;;Twitter for iPhone;-14.235004;-51.92528;-0.839111;negative;fogo no
37;37;37.0;2916456381.0;lubiroz3;RT @AllanFrutuozo: O STF encontrará resistência. Os ministros calcularam muito mal. Se avançarem com a revogação da prisão em segunda instâ…;O STF encontrara resistencia Os ministros calcularam muito mal Se avancarem com a revogacao da prisao em segunda insta;642.0;0.0;2019-10-16 01:59:07;;;;Twitter for Android;37.2256055;-95.7162018;-0.8395530000000001;negative;revogacao da prisao
38;38;38.0;2820026001.0;CarolanmeloA;RT @OABurgos: Não se esqueçam de nossa obrigação cívica contra este STF corrupto! Dia 17/10, quem de nós puder que vá a Brasília ajudar na…;Nao se esquecam de nossa obrigacao civica contra este STF corrupto! Dia 17/10 quem de nos puder que va a Brasilia ajudar na;661.0;0.0;2019-10-16 01:59:05;;Curitiba;;Twitter for iPhone;-25.4808762;-49.3044253;-0.643709;negative;obrigacao civica
39;39;39.0;4113178283.0;maurodouglasfsr;RT @PauloMartins10: Suas duvidas acabaram. Gleisi esclarece que se o STF rever a prisão após condenação em instância, Lula e mais de 140 mi…;Suas duvidas acabaram Gleisi esclarece que se o STF rever a prisao apos condenacao em instancia Lula e mais de 140 mi;63.0;0.0;2019-10-16 01:59:04;;Cabo Frio, Brasil;;Twitter for Android;-22.8915403;-42.0354315;0.0;neutral;prisao apos
40;40;40.0;1.111403229353517e+18;RenatoM83260908;"RT @AleGZahra17: Direita, que toda nossa Indignação se transforme em União contra o STF !

Prisão em Segunda Instância Sim !
Dia 17 em Bras…";Direita que toda nossa Indignacao se transforme em Uniao contra o STF ! Prisao em Segunda Instancia Sim ! Dia 17 em Bras;662.0;0.0;2019-10-16 01:59:04;;Mato Grosso do Sul, Brasil;;Twitter for Android;-20.7722295;-54.7851531;0.0;neutral;segunda instancia sim
41;41;41.0;1.0536671201673462e+18;airanabreu;"RT @jrguzzofatos: @RABELowisk Caro José Rabelo
A “Veja” decidiu vetar o artigo que eu tinha escrito para a última edição. Era um texto com…";Caro Jose Rabelo A Veja decidiu vetar o artigo que eu tinha escrito para a ultima edicao Era um texto com;8.0;0.0;2019-10-16 01:59:04;;;;Twitter for iPhone;37.2256055;-95.7162018;-0.715709;negative;caro jose rabelo a veja
42;42;42.0;2683797303.0;larrybroche;"RT @Manifest_BRA: Só olhe o vídeo se já terminou a 1ª temporada
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
No trailer da s2 vemos a Michaela em um t…";So olhe o video se ja terminou a 1a temporada No trailer da s2 vemos a Michaela em um t;2198.0;0.0;2019-10-16 01:59:03;;Doncaster, England;;Twitter for Android;53.52282;-1.128462;0.0;neutral;temporada no
43;43;43.0;1.0277513361027686e+18;EsterRovani1;RT @PatriaAmada_Br: Qualquer cidadão que tiver provas concretas contra o STF, pode dar entrada no pedido de IMPEACHMENT dos ministros da Su…;Qualquer cidadao que tiver provas concretas contra o STF pode dar entrada no pedido de IMPEACHMENT dos ministros da Su;668.0;0.0;2019-10-16 01:59:03;;;;Twitter Web App;37.2256055;-95.7162018;0.0;neutral;provas concretas
44;44;44.0;2996832729.0;davizte;RT @JacBolsonaro: Quinta feira  17/10 haverá manifestações na Praça dos Três Poderes em Brasília. Convoco todos os tuiteiros a divulgarem.…;Quinta feira 17/10 havera manifestacoes na Praca dos Tres Poderes em Brasilia Convoco todos os tuiteiros a divulgarem;2053.0;0.0;2019-10-16 01:59:03;;;;Twitter for Android;37.2256055;-95.7162018;-0.543457;negative;manifestacoes na
45;45;45.0;162740168.0;maxwel_machado;"RT @RHPozzobon: #STF sobre a prisão em segunda instância:

Até 2009 ➡️ Permitida ✅
2009 a 2016 ➡️ Negada ❌
A partir de 2016 ➡️ Permitida ✅…";#STF sobre a prisao em segunda instancia: Ate 2009 Permitida  2009 a 2016 Negada  A partir de 2016 Permitida;93.0;0.0;2019-10-16 01:59:03;;Vila Velha - ES;;Twitter for Android;-20.3477821;-40.2949528;0.0;neutral;#stf
46;46;46.0;1.0624258364548465e+18;Arthpex;RT @GuigoGomes1: Eu acho que STF é abreviação para Sempre Tentando Ferrar! Não é possível!!!;Eu acho que STF e abreviacao para Sempre Tentando Ferrar! Nao e possivel!!!;826.0;0.0;2019-10-16 01:59:02;;;;Twitter for Android;37.2256055;-95.7162018;-0.8281790000000001;negative;sempre tentando ferrar
47;47;47.0;1.067856452356907e+18;Emiliad45317143;Moraes ordena busca e apreensão na casa de ativista que critica o STF – Noticia Brasil Online https://t.co/g25cBRwbLn via @ NBO04169435;Moraes ordena busca e apreensao na casa de ativista que critica o STF Noticia Brasil Online via @ NBO04169435;727.0;0.0;2019-10-16 01:59:01;;;;Twitter Web Client;37.2256055;-95.7162018;0.0;neutral;apreensao na
48;48;48.0;2996832729.0;davizte;RT @CarlaZambelli17: O jornalista Políbio Braga explica o golpe em curso no STF para soltar o presidiário, DESTRUINDO a justiça brasileira…;O jornalista Polibio Braga explica o golpe em curso no STF para soltar o presidiario DESTRUINDO a justica brasileira;2053.0;0.0;2019-10-16 01:59:00;;;;Twitter for Android;37.2256055;-95.7162018;0.0;neutral;jornalista polibio braga
49;49;49.0;3037284419.0;CandidogfG;RT @mitags: Retrocesso, pois este assunto já estava pacificado Depois de presos certos bandidos “amigos de Ministros STF”é que resolveram v…;Retrocesso pois este assunto ja estava pacificado Depois de presos certos bandidos amigos de Ministros STFe que resolveram v;290.0;0.0;2019-10-16 01:59:00;;Rio Tavares Central, Florianopolis;;Twitter for iPad;-27.6634144;-48.4912218;-0.8195540000000001;negative;assunto ja
50;50;50.0;7.812718715222426e+17;JChinelao;RT @Schiavon_26: O @STF_oficial QUER, DE FATO, INCENDIAR O PAÍS E PRA ISSO CONTA COM A PRESTIMOSA AJUDA DA @camaradeputados e @SenadoFedera…;O QUER DE FATO INCENDIAR O PAIS E PRA ISSO CONTA COM A PRESTIMOSA AJUDA DA e;4438.0;0.0;2019-10-16 01:58:59;;;;Twitter Web App;37.2256055;-95.7162018;0.0;neutral;quer de fato
51;51;51.0;4230472229.0;hudsonGomes18;RT @allantercalivre: Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado, com medo, passivo. Engana-se complet…;Vamos mandar a real? O STF quer tacar fogo no Brasil e espera ver um povo acuado com medo passivo Enganase complet;1133.0;0.0;2019-10-16 01:58:58;;Brasil Sao Paulo;;Twitter Web App;-23.5505199;-46.63330939999999;-0.839111;negative;fogo no
52;52;52.0;8.920454360553226e+17;belvangrol;RT @eugeniorib1958: Vamos ficar muito atentos... mais do que nunca... essa folga de alguns ministros do STF vai acabar logo logo... todos n…;Vamos ficar muito atentos mais do que nunca essa folga de alguns ministros do STF vai acabar logo logo todos n;4508.0;0.0;2019-10-16 01:58:57;;Florianopolis - SC;;Twitter for Android;-27.5948698;-48.54821949999999;-0.866603;negative;folga de alguns ministros do stf
53;53;53.0;1.132313310425174e+18;laubrasil2;RT @auroepiscopo: Na Verdade, É Preciso Que PR Bolsonaro OUTORGUE Uma NOVA CONSTITUIÇÃO FEDERAL, Eliminando O STF, Tirando O Poder Quase Ab…;Na Verdade E Preciso Que PR Bolsonaro OUTORGUE Uma NOVA CONSTITUICAO FEDERAL Eliminando O STF Tirando O Poder Quase Ab;1863.0;0.0;2019-10-16 01:58:56;;;;Twitter for Android;37.2256055;-95.7162018;0.0;neutral;nova constituicao federal
54;54;54.0;731450701.0;Christi25760598;RT @right_blond: Quinta feira, dia 17/10/2019 será decidido pelo STF a legalidade da prisão em segunda instância...tudo caminha para a abso…;Quinta feira dia 17/10/2019 sera decidido pelo STF a legalidade da prisao em segunda instanciatudo caminha para a abso;659.0;0.0;2019-10-16 01:58:55;;;;Twitter for Android;37.2256055;-95.7162018;0.0;neutral;legalidade da prisao
55;55;55.0;1.143704091526406e+18;JooFelipeOliv10;RT @AdriAlcantara17: “É porque eles não são juízes coisa nenhuma, são advogados de defesa de bandidos, lá no Supremo”, @augustosnunes se re…;E porque eles nao sao juizes coisa nenhuma sao advogados de defesa de bandidos la no Supremo se re;15.0;0.0;2019-10-16 01:58:55;;;;Twitter for Android;37.2256055;-95.7162018;-0.902122;negative;sao juizes
